,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
310,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L
311,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S
312,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
313,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
314,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S
315,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
316,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M
317,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M
318,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L
319,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
320,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S
321,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M
322,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L
323,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
324,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L
325,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L
326,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L
327,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
328,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L
329,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L
330,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L
331,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
332,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L
333,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
334,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
335,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
336,2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L
337,2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L
338,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L
339,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
340,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L
341,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L
342,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S
343,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L
344,2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L
345,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
346,2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L
347,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L
348,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L
349,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S
350,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M
351,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L
352,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
353,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
354,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L
355,2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L
356,2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L
357,2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L
358,2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S
359,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L
360,2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
361,2021,SE,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L
362,2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L
363,2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L
364,2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,S
365,2021,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L
366,2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
367,2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L
368,2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M
369,2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L
370,2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S
371,2021,EX,FT,Principal Data Engineer,600000,USD,600000,US,100,US,L
372,2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L
373,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
374,2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L
375,2021,MI,FT,Data Scientist,130000,USD,130000,US,50,US,L
376,2021,MI,FT,Data Engineer,93150,USD,93150,US,0,US,M
377,2021,MI,FT,Data Engineer,111775,USD,111775,US,0,US,M
378,2021,EN,FT,Data Engineer,72500,USD,72500,US,100,US,L
379,2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
380,2021,EN,FT,Data Scientist,58000,USD,58000,US,50,US,L
381,2021,MI,FT,Data Engineer,112000,USD,112000,US,100,US,L
382,2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M
383,2021,MI,FT,Data Scientist,109000,USD,109000,US,50,US,L
384,2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
385,2022,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M
386,2022,SE,FT,Data Analyst,120600,USD,120600,US,100,US,M
387,2022,MI,FT,Data Scientist,130000,USD,130000,US,0,US,M
388,2022,MI,FT,Data Scientist,90000,USD,90000,US,0,US,M
389,2022,MI,FT,Data Engineer,170000,USD,170000,US,100,US,M
390,2022,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M
391,2022,SE,FT,Data Analyst,102100,USD,102100,US,100,US,M
392,2022,SE,FT,Data Analyst,84900,USD,84900,US,100,US,M
393,2022,SE,FT,Data Scientist,136620,USD,136620,US,100,US,M
394,2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
395,2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M
396,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
397,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
398,2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M
399,2022,MI,FT,Data Analyst,106260,USD,106260,US,0,US,M
400,2022,MI,FT,Data Analyst,126500,USD,126500,US,0,US,M
401,2022,EX,FT,Data Engineer,242000,USD,242000,US,100,US,M
402,2022,EX,FT,Data Engineer,200000,USD,200000,US,100,US,M
403,2022,SE,FT,Data Scientist,165220,USD,165220,US,100,US,M
404,2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
405,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
406,2022,SE,FT,Data Engineer,181940,USD,181940,US,0,US,M
407,2022,SE,FT,Data Engineer,132320,USD,132320,US,0,US,M
408,2022,SE,FT,Data Engineer,220110,USD,220110,US,0,US,M
409,2022,SE,FT,Data Engineer,160080,USD,160080,US,0,US,M
410,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,L
411,2022,SE,FT,Data Scientist,120000,USD,120000,US,0,US,L
412,2022,SE,FT,Data Analyst,124190,USD,124190,US,100,US,M
413,2022,EX,FT,Data Analyst,130000,USD,130000,US,100,US,M
414,2022,EX,FT,Data Analyst,110000,USD,110000,US,100,US,M
415,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
416,2022,MI,FT,Data Analyst,115500,USD,115500,US,100,US,M
417,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
418,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
419,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
420,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
421,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
422,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
423,2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M
424,2022,SE,FT,Data Engineer,243900,USD,243900,US,100,US,M
425,2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M
426,2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M
427,2022,SE,FT,Data Engineer,128875,USD,128875,US,100,US,M
428,2022,SE,FT,Data Engineer,93700,USD,93700,US,100,US,M
429,2022,EX,FT,Head of Data Science,224000,USD,224000,US,100,US,M
430,2022,EX,FT,Head of Data Science,167875,USD,167875,US,100,US,M
431,2022,EX,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
432,2022,SE,FT,Data Engineer,156600,USD,156600,US,100,US,M
433,2022,SE,FT,Data Engineer,108800,USD,108800,US,0,US,M
434,2022,SE,FT,Data Scientist,95550,USD,95550,US,0,US,M
435,2022,SE,FT,Data Engineer,113000,USD,113000,US,0,US,L
436,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
437,2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
438,2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M
439,2022,SE,FT,Data Scientist,167000,USD,167000,US,100,US,M
440,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
441,2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
442,2022,SE,FT,Data Scientist,211500,USD,211500,US,100,US,M
443,2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,L
444,2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
445,2022,SE,FT,Data Engineer,136000,USD,136000,US,0,US,M
446,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
447,2022,EX,FT,Analytics Engineer,135000,USD,135000,US,100,US,M
448,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
449,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
450,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
451,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
452,2022,SE,FT,Data Analyst,132000,USD,132000,US,0,US,M
453,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
454,2022,SE,FT,Data Architect,208775,USD,208775,US,100,US,M
455,2022,SE,FT,Data Architect,147800,USD,147800,US,100,US,M
456,2022,SE,FT,Data Engineer,136994,USD,136994,US,100,US,M
457,2022,SE,FT,Data Engineer,101570,USD,101570,US,100,US,M
458,2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M
459,2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M
460,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
461,2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M
462,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
463,2022,MI,FT,AI Scientist,120000,USD,120000,US,0,US,M
464,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
465,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
466,2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M
467,2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M
468,2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
469,2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
470,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
471,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
472,2022,SE,FT,Data Analyst,115934,USD,115934,US,0,US,M
473,2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M
474,2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
475,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
476,2022,SE,FT,Data Engineer,183600,USD,183600,US,100,US,L
477,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
478,2022,SE,FT,Data Scientist,260000,USD,260000,US,100,US,M
479,2022,MI,FT,Data Engineer,63900,USD,63900,US,0,US,M
480,2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
481,2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
482,2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M
483,2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M
484,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
485,2022,SE,FT,Data Scientist,80000,USD,80000,US,0,US,M
486,2022,MI,FT,Data Engineer,82900,USD,82900,US,0,US,M
487,2022,SE,FT,Data Engineer,100800,USD,100800,US,100,US,L
488,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
489,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
490,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
491,2022,SE,FT,Data Scientist,215300,USD,215300,US,0,US,L
492,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
493,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
494,2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
495,2022,SE,FT,Data Engineer,80000,USD,80000,US,100,US,M
496,2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
497,2022,EN,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M
498,2022,MI,FT,NLP Engineer,240000,CNY,,US,50,US,L
499,2022,SE,FT,Data Engineer,105000,USD,105000,US,100,US,M
500,2022,EN,FT,Financial Data Analyst,100000,USD,100000,US,50,US,L
501,2022,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M
502,2022,SE,FT,Research Scientist,144000,USD,144000,US,50,US,L
503,2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M
504,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
505,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
506,2022,MI,FT,Data Analyst,135000,USD,135000,US,100,US,M
507,2022,MI,FT,Data Analyst,50000,USD,50000,US,100,US,M
508,2022,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M
509,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
510,2022,SE,FT,Data Scientist,185100,USD,185100,US,100,US,M
511,2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M
512,2022,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M
513,2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M
514,2022,EX,FT,Data Engineer,324000,USD,324000,US,100,US,M
515,2022,EX,FT,Data Engineer,216000,USD,216000,US,100,US,M
516,2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
517,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M
518,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
519,2022,MI,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M
520,2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
521,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
522,2022,EN,FT,Research Scientist,120000,USD,120000,US,100,US,L
523,2022,MI,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L
524,2022,EN,FT,Data Engineer,65000,USD,65000,US,100,US,S
525,2022,SE,FT,Data Science Manager,152500,USD,152500,US,100,US,M
526,2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100,US,L
527,2022,SE,FT,Data Analytics Lead,405000,USD,405000,US,100,US,L
528,2022,MI,FT,Data Scientist,135000,USD,135000,US,100,US,L
529,2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L
530,2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M
531,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
532,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
533,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
534,2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M
535,2022,SE,FT,Machine Learning Engineer,192600,USD,192600,US,100,US,M
536,2022,SE,FT,Data Architect,266400,USD,266400,US,100,US,M
537,2022,SE,FT,Data Architect,213120,USD,213120,US,100,US,M
538,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
539,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
540,2022,MI,FT,Data Scientist,141300,USD,141300,US,0,US,M
541,2022,MI,FT,Data Scientist,102100,USD,102100,US,0,US,M
542,2022,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
543,2022,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
544,2022,MI,FT,Data Engineer,206699,USD,206699,US,0,US,M
545,2022,MI,FT,Data Engineer,99100,USD,99100,US,0,US,M
546,2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
547,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
548,2022,SE,FT,Data Engineer,110500,USD,110500,US,100,US,M
549,2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
550,2022,SE,FT,Data Analyst,99050,USD,99050,US,100,US,M
551,2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
552,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,L
553,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
554,2022,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M
555,2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
556,2022,SE,FT,Data Engineer,200100,USD,200100,US,100,US,M
557,2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
558,2022,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
559,2022,SE,FT,Data Engineer,70500,USD,70500,US,0,US,M
560,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,M
561,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,M
562,2022,SE,FT,Analytics Engineer,205300,USD,205300,US,0,US,M
563,2022,SE,FT,Analytics Engineer,184700,USD,184700,US,0,US,M
564,2022,SE,FT,Data Engineer,175100,USD,175100,US,100,US,M
565,2022,SE,FT,Data Engineer,140250,USD,140250,US,100,US,M
566,2022,SE,FT,Data Analyst,116150,USD,116150,US,100,US,M
567,2022,SE,FT,Data Engineer,54000,USD,54000,US,0,US,M
568,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
569,2022,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
570,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
571,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
572,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
573,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
574,2022,SE,FT,Data Analyst,69000,USD,69000,US,100,US,M
575,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
576,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
577,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
578,2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M
579,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
580,2022,SE,FT,Data Engineer,25000,USD,25000,US,100,US,M
581,2022,SE,FT,Data Analyst,126500,USD,126500,US,100,US,M
582,2022,SE,FT,Data Analyst,106260,USD,106260,US,100,US,M
583,2022,SE,FT,Data Engineer,220110,USD,220110,US,100,US,M
584,2022,SE,FT,Data Engineer,160080,USD,160080,US,100,US,M
585,2022,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
586,2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M
587,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
588,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
589,2022,SE,FT,Data Analyst,60000,USD,60000,US,100,US,M
590,2022,SE,FT,Data Architect,192564,USD,192564,US,100,US,M
591,2022,SE,FT,Data Architect,144854,USD,144854,US,100,US,M
592,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
593,2022,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M
594,2022,SE,FT,Data Analytics Manager,150260,USD,150260,US,100,US,M
595,2022,SE,FT,Data Analytics Manager,109280,USD,109280,US,100,US,M
596,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
597,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
598,2022,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
599,2022,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M
600,2022,SE,FT,Data Engineer,154000,USD,154000,US,100,US,M
601,2022,SE,FT,Data Engineer,126000,USD,126000,US,100,US,M
602,2022,SE,FT,Data Analyst,129000,USD,129000,US,0,US,M
603,2022,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
604,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M
605,2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M
606,2021,EN,FT,Data Scientist,4000,USD,4000,VN,0,VN,M
